#	Every statement clause of the five later topics, and whether it could be written as a registry row.
#	file	line	clause	verdict	why
#	PORTED means a row exists in mock/registry/{proposal,law}-the-later-topics.toml.
#	NO-AXIS means its region names an axis no `dimension` row declares.
#	NO-REGION means the source states no region at all and the kind is not `normative`.
#	REFUSED means a signature refused it and no wording is true until op rules.
161	521	1. a primitive is a value set with one realisation map	PORTED	proposal a_primitive_is_a_value_set_with_one_realisation_map
161	521	1b. the map is one map with two regions, not two mechanisms	PORTED	proposal the_realisation_map_is_one_map_with_two_regions
161	525	2. identity up to denotation-preserving isomorphism	FOLDED	into clause 1's row; extension conditional on the container premise
161	531	3. a law is read off the algebra and never declared	PORTED	proposal a_law_is_read_off_the_algebra_and_never_declared
161	537	4. the signature is part of the definition; reach and saturation	NO-REGION	descriptive, no predicate anywhere in the topic; saturation also conditional on op
161	548	5. the realisation is a lens; sole occupancy	PORTED	proposal the_lens_degenerates_to_an_ordinary_value_at_sole_occupancy
161	558	6a. the realisation is not part of identity	REFUSED	no wording is true on both branches of the container premise until op rules
161	558	6b. an axis the map does not read must not be a parameter	PORTED	proposal an_axis_the_realisation_map_does_not_read_is_not_a_type_parameter
161	567	7. a refinement is a grade, not a coordinate	NO-REGION	descriptive, no predicate
161	580	8. the type carries what must be const-available	NO-REGION	descriptive, no predicate
161	585	9. adequacy is soundness plus completeness up to weakening	NO-REGION	descriptive, no predicate; admissibility also conditional on op and on X3
161	598	10. the verdicts age as the signature grows	NO-REGION	descriptive, no predicate; one phrase conditional on the container premise
161	605	11. naming is partial and injective	PORTED	proposal naming_is_partial_and_injective_or_it_is_broken
161	610	12. configuration is not composition	PORTED	proposal configuration_is_not_composition_and_a_composite_is_a_primitive
161	618	13. chain accuracy lives in the operator's typing	NO-REGION	descriptive, no predicate
173	531	1. the partition into maximal stretches	NO-REGION	marked [theorem]; no predicate on any chain clause
173	538	2. the licence	PORTED	proposal within_an_unbound_stretch_the_design_may_select_any_realisation
173	547	3. a chain's content, the schedule, the five obligations	NO-REGION	marked [enumeration]; no predicate
173	556	4a. the four grades of chain exactness	NO-REGION	marked [enumeration]; no predicate
173	556	4b. no intermediate width between F and 2F is innocuous	PORTED	law double_rounding_is_innocuous_at_an_intermediate_width_between_f_and_2f
173	567	5. deferral to the boundary is pointwise optimal	NO-REGION	marked [theorem]; the counts moved to a ledger note whose region names six undeclared axes
173	575	6a. two independent deletion licences, range and algebra	NO-REGION	marked [measured]; no predicate
173	575	6b. a licence holds implies the family is a singleton	PORTED	law a_deletion_licence_holds_exactly_where_the_boundary_function_family_is_a_singleton
173	586	7. a chain factors into windows	NO-REGION	marked [enumeration]; no predicate
173	594	8. depth, shape and arity flip the winning arm	NO-REGION	marked [measured]; no predicate
